id,activity_type,date,time_spent
6009225,join_session_live - Scheduled 1:n,"February 16,2022",94.55331369
8668483,join_session_replay - Scheduled 1:n,"February 16,2022",5.708323722
6257256,join_session_replay - Scheduled 1:n,"February 16,2022",14.20858751
2858154,join_session_live - Scheduled Competition,"February 14,2022",20.88997795
1091976,exit_group_section - post_details,"February 2,2022",0
6325537,homework,"February 16,2022",2.223958166
2459561,Live Practice Game,"January 29,2022",1.05820351
3278043,exit_group_section - post_details,"February 19,2022",0
8901005,enter_group,"February 16,2022",0
902976,exit_group_section - post_details,"February 11,2022",0
8267732,Live Practice Game,"February 19,2022",1.779919678
8267732,join_group,"February 19,2022",0
8267732,join_session_replay - Scheduled 1:n,"February 19,2022",20.86132925
3101143,homework,"February 16,2022",4.970562017
8347592,homework,"February 4,2022",2.749339212
2113670,homework,"February 14,2022",0.216027205
3416269,join_session_live - Scheduled 1:n,"January 7,2022",94.48543258
3342376,join_session_live - Scheduled 1:n,"February 14,2022",94.48123462
220571,join_session_live - Scheduled 1:n,"February 16,2022",94.47315322
2837763,join_session_live - Scheduled Competition,"February 19,2022",7.192296115
6381814,Live Practice Game,"January 17,2022",1.375995081
6381814,join_group,"January 17,2022",0
2251450,join_group,"February 20,2022",0
7584123,join_session_live - Scheduled Competition,"February 16,2022",25.52164769
7584123,quizon,"February 16,2022",0
3617675,join_group,"February 19,2022",0
585954,Live Practice Game,"January 21,2022",1.617966268
1003196,join_session_replay - Scheduled 1:n,"February 14,2022",11.53754861
2143871,exit_group_section - post_details,"February 20,2022",0
5496754,Live Practice Game,"February 22,2022",0.506713365
4971871,join_session_live - Scheduled 1:n,"February 19,2022",1094.317821
2000088,join_session_live - Scheduled Competition,"January 7,2022",197.1321355
6294131,join_group,"February 19,2022",0
2295087,exit_group_section - post_details,"February 16,2022",0
4684280,join_session_live - Scheduled Competition,"February 19,2022",40.92625512
4684280,quizon,"February 19,2022",0
2383398,join_group,"February 16,2022",0
6542337,join_group,"February 16,2022",0
563126,enter_group,"February 22,2022",0
5697312,exit_group_section - post_details,"February 19,2022",0
8736108,join_session_live - Scheduled Competition,"February 16,2022",4.885656964
6940547,join_group,"January 27,2022",0
1386240,exit_group_section - post_details,"February 14,2022",0
